Key,Shared Comments,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
"Item_Type_Equip","","Equip","","장비",""
"Item_Type_Consumable","","Consumable","","소모품",""
"Item_Type_Currency","","Currency","","재화",""
"Item_Type_Misc","","Misc","","기타",""
"Item_Category_Weapon","","Weapon","","무기",""
"Item_Category_Armor","","Armor","","방어구",""
"Item_Category_Potion","","Potion","","물약",""
"Item_Category_Gold","","Gold","","골드",""
"Item_Category_Silver","","Silver","","실버",""
"Item_Category_Material","","Material","","재료",""
"Item_Category_Tool","","Tool","","도구",""
"Item_Category_Seed","","Seed","","씨앗",""
"Item_Category_Vegetable","","Vegetable","","채소",""
"Item_Category_Grain","","Grain","","곡물",""
"Item_Category_Wood","","Wood","","목재",""
"Item_Category_Ore","","Ore","","광석",""
"Item_Category_Remnant","","Remnant","","잔재",""
"Item_Category_SkillBook","","Skill Book","","스킬북",""
"Item_SubCategory_Sword","","Sword","","검",""
"Item_SubCategory_Chest","","Chest","","갑옷",""
"Item_SubCategory_Boots","","Boots","","신발",""
"Item_SubCategory_RecoverHp","","Recover HP","","HP 회복",""
"Item_SubCategory_RecoverMp","","Recover MP","","MP 회복",""
"Item_SubCategory_IncreaseAttackSpeed","","Attack Speed Up","","공격 속도 증가",""
"Item_SubCategory_IncreaseMoveSpeed","","Move Speed Up","","이동 속도 증가",""
"Item_SubCategory_Axe","","Axe","","도끼",""
"Item_SubCategory_Hoe","","Hoe","","호미",""
"Item_SubCategory_PickAxe","","Pickaxe","","곡괭이",""
"Item_SubCategory_Sickle","","Sickle","","낫",""
"Item_SubCategory_Watering","","Watering Can","","물뿌리개",""
"Item_SubCategory_HandHarvestable","","Hand Harvestable","","손수확",""
"Item_SubCategory_ScytheHarvestable","","Scythe Harvestable","","낫수확",""
"Item_SubCategory_IncreaseHp","","HP Up","","최대 HP 증가",""
"Item_SubCategory_Active","","Active","","액티브",""
"Item_SubCategory_Passive","","Passive","","패시브",""
"Item_SubCategory_ActiveBuff","","Active Buff","","액티브 버프",""
"Item_Class_Normal","","Normal","","일반",""
"Item_Class_Magic","","Magic","","마법",""
"Item_Class_Rare","","Rare","","레어",""
"Item_Class_Unique","","Unique","","유니크",""
"Item_AntiFlag_ShopSale","","Shop Sale Locked","","상점 판매 불가",""
"Item_AntiFlag_Stash","","Stash Locked","","창고 보관 불가",""
"Item_AntiFlag_Salvage","","Salvage Locked","","분해 불가",""
"Item_AntiFlag_Upgrade","","Upgrade Locked","","강화 불가",""
